trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
56,False,"{'a': 0.5, 'e': 0.5870000000000004}",20,0,-52.39595060132808,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.5725000000000005}",20,0,-46.07957077187697,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.5577500000000004}",20,13,-27.77098800775949,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
59,False,"{'a': 0.5, 'e': 0.5427500000000004}",35,0,-152.79627442218967,"{0: 26, 1: 2, 2: 2, 3: 2, 4: 3}",0
60,False,"{'a': 0.5, 'e': 0.5275000000000004}",25,0,-44.420078809267046,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.5120000000000005}",25,1,-63.27545372340509,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 2}",1
62,False,"{'a': 0.5, 'e': 0.49625000000000047}",30,0,-120.56103329987869,"{0: 19, 1: 2, 2: 6, 3: 2, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.48025000000000045}",25,0,-81.25317085687358,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
64,False,"{'a': 0.5, 'e': 0.46400000000000047}",20,0,-32.512960243436325,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.44750000000000045}",25,0,-67.60225263510176,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
66,False,"{'a': 0.5, 'e': 0.43075000000000047}",20,0,-26.182437003703278,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.41375000000000045}",30,10,-17.834322835825372,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.39650000000000046}",20,13,2.9150462795520578,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.37900000000000045}",20,15,-29.214160499376675,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
70,False,"{'a': 0.5, 'e': 0.36125000000000046}",20,9,-65.85074441583852,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 2}",1
71,False,"{'a': 0.5, 'e': 0.34325000000000044}",25,17,5.296777719398268,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.32500000000000046}",20,10,11.689509106144108,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.30650000000000044}",20,16,6.043904840426968,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.28775000000000045}",25,17,13.554436588583734,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.26875000000000043}",20,16,7.494118948366204,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.24950000000000044}",20,13,13.646142929241087,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.23000000000000045}",25,11,-27.013283645186963,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
78,False,"{'a': 0.5, 'e': 0.21025000000000046}",35,21,-37.48277438276099,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
79,False,"{'a': 0.5, 'e': 0.19025000000000047}",20,13,3.515624897465205,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.17000000000000048}",25,8,30.474045667763335,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.1495000000000005}",20,6,11.017633454864974,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.1287500000000005}",20,11,15.493535565654124,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.1077500000000005}",20,5,22.206274834474222,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.0865000000000005}",30,13,31.86108763529696,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.06500000000000049}",20,16,7.762705352558162,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.04325000000000048}",20,2,24.728877447997995,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,11,17.772032330862416,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,18,21.599933607968147,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,0,32.27895992422217,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,15,21.789614982096783,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,11,19.60697328609049,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,5,33.13829458899968,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,12,28.629191534208847,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,2,29.310881112572353,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,10,19.306375382928668,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,14,11.654747609354862,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
